icao;iata;name;city;region;country;latitude;longitude;timezone;pop;pop_dens;total_passengers;commercial traffic;non-commercial traffic;elevation
LSZL;ZJI;Locarno Airport;;Ticino;CH;46.1608009338;8.8786096573;Europe/Zurich;;;22185.0;1990.0;20195.0;198.11033221578785
LSZM;MLH;EuroAirport Basel-Mulhouse-Freiburg Airport;Bale/Mulhouse;Grand Est;CH;47.5895996094;7.5299100876;Europe/Paris;;;3142.0;82.0;3060.0;269.73483693995735
LSZN;;Hausen am Albis Airport;;Zurich;CH;47.2386016846;8.5155601501;Europe/Zurich;;;0.0;0.0;0.0;587.6257238646754
LSZO;;Luzern-Beromunster Airport;Lucerne;Lucerne;CH;47.1899986267;8.2047195435;Europe/Zurich;;;13466.0;93.0;13373.0;654.0688814385858
LSZP;;Biel-Kappelen Airport;;Bern;CH;47.0891990662;7.2899999619;Europe/Zurich;;;4999.0;1.0;4998.0;437.97622676013407
LSZQ;;Bressaucourt Airport;Bressaucourt;Jura;CH;47.392677;7.028648;Europe/Zurich;;;3081.0;20.0;3061.0;568.729046022554
LSZR;ACH;St Gallen Altenrhein Airport;Altenrhein;Saint-Gallen;CH;47.4850006104;9.5607700348;Europe/Zurich;;;60291.0;56509.0;3782.0;398.0493751904907
LSZS;SMV;Samedan Airport;;Grisons;CH;46.5340995789;9.8841104507;Europe/Zurich;;;13451.0;9092.0;4359.0;1706.7967083206338
LSZT;;Lommis Airfield;Lommis;Thurgau;CH;47.5243988037;9.0030603409;Europe/Zurich;1254.0;145.6;3574.0;0.0;3574.0;469.06430966168847
LSZU;;Buttwil Airport;;Aargau;CH;47.2647018433;8.3024997711;Europe/Zurich;;;3240.0;349.0;2891.0;722.9503200243828
LSZV;;Sitterdorf Airport;;Thurgau;CH;47.5088996887;9.2627801895;Europe/Zurich;;;2562.0;653.0;1909.0;505.94330996647363
LSZW;;Thun Airport;Thun;Bern;CH;46.756401062;7.6005601883;Europe/Zurich;43670.0;2024.6;6671.0;125.0;6546.0;559.8902773544651
LSZX;;Schanis Airport;;Saint-Gallen;CH;47.1716995239;9.039440155;Europe/Zurich;;;286.0;0.0;286.0;416.0316976531545
